#   1 Xpos                ""                                              [""]
#   2 Ypos                ""                                              [""]
#   3 in_area             mask value (addmask)                           
#   4 Flux                ""                                              [""]
#   5 Fluxer              ""                                              [""]
5687.63 42.7500 0 0.175785 0.0181200
3203.67 29.2000 0 0.940395 0.0208780
4227.84 52.8200 0 0.130861 0.0216120
2200.14 9.02600 0 1.96392 0.0207430
5580.66 52.7850 0 0.113613 0.0187980
4535.84 53.4370 0 0.185813 0.0206970
6264.79 51.5200 0 0.0755080 0.0175990
871.870 35.8530 0 1.25426 0.0220100
3643.19 52.8680 0 0.591332 0.0221720
2139.64 37.3220 0 0.361397 0.0202610
1397.30 52.7040 0 0.0682880 0.0211020
9096.29 51.7390 0 0.286089 0.0263140
8371.42 340.245 0 79.8973 0.0209130
5481.39 26.0970 0 1.18447 0.0187710
6423.01 55.1410 0 0.168866 0.0175990
4643.98 54.9390 0 0.118828 0.0217510
4461.30 55.7140 0 0.142593 0.0219380
6001.79 57.3970 0 0.0741040 0.0175990
6606.97 57.1310 0 0.0891460 0.0176300
5786.52 22.6350 0 1.54797 0.0175990
8876.89 42.5830 0 0.488648 0.0267650
3606.06 4.08200 0 2.32131 0.0220020
8891.28 54.6340 0 0.154627 0.0268500
1158.37 59.4770 0 0.247383 0.0208490
2233.01 59.9790 0 0.608579 0.0201030
1632.23 55.6400 0 0.363403 0.0205950
2083.92 50.0800 0 0.163351 0.0197560
2575.40 61.7220 0 0.110505 0.0214260
8854.83 60.4170 0 0.328005 0.0272850
7903.07 44.0890 0 0.356083 0.0198700
5314.47 62.3540 0 0.130961 0.0187760
8718.82 14.0610 0 11.4787 0.0267650
1870.94 63.0100 0 0.0487340 0.0190530
8166.40 60.8160 0 0.331013 0.0198280
1310.93 20.8590 0 4.40295 0.0203610
6830.81 24.0030 0 9.12418 0.0177140
8185.50 265.526 0 63.5012 0.0196340
9122.35 54.4220 0 0.469696 0.0269200
5180.08 65.3650 0 0.0918530 0.0189080
6897.41 65.6810 0 0.0962660 0.0175990
2410.82 38.5650 0 0.451746 0.0218600
3770.96 24.9280 0 2.29764 0.0211620
7826.04 66.9860 0 0.0686900 0.0208570
7444.28 66.6160 0 0.118427 0.0181070
234.409 67.4240 0 0.141089 0.0217760
1056.87 62.6610 0 0.203562 0.0210280
5407.16 23.5850 0 0.238057 0.0184380
7568.70 63.0230 0 0.246881 0.0201640
1817.51 63.8260 0 0.302435 0.0191620
7935.28 60.6340 0 0.301331 0.0190130
5142.19 68.9070 0 0.0997750 0.0182160
7348.02 37.3160 0 1.39806 0.0200540
2826.20 69.9000 0 0.100076 0.0209440
4983.12 45.6950 0 0.235450 0.0192400
5090.62 29.5500 0 0.706850 0.0187990
8481.57 70.0020 0 0.0868400 0.0209340
5447.96 17.4610 0 3.69439 0.0187290
2036.07 29.4800 0 3.46125 0.0190710
1312.71 69.9400 0 0.130259 0.0210740
2691.33 58.5190 0 0.593839 0.0211280
2200.54 60.2660 0 0.377843 0.0191990
4503.21 37.3560 0 12.8225 0.0219140
2485.25 59.4110 0 0.309053 0.0217650
2444.92 71.9370 0 0.130259 0.0215420
5818.95 72.1300 0 0.0739040 0.0175990
5070.19 71.6110 0 0.124143 0.0189550
8885.51 71.4970 0 0.158136 0.0264040
4841.78 73.4790 0 0.296217 0.0193450
7503.38 39.8310 0 4.23910 0.0195460
5297.33 35.8960 0 1.32034 0.0184810
4908.73 72.6380 0 0.0847340 0.0189720
3523.65 74.0270 0 0.286591 0.0225400
8636.72 74.1110 0 0.141089 0.0230160
5336.01 69.2520 0 0.223316 0.0186370
2968.82 61.7200 0 0.679174 0.0221100
5803.83 75.1320 0 0.115218 0.0175990
490.516 74.4960 0 0.100979 0.0217740
5838.68 36.7260 0 2.82540 0.0175990
5173.71 48.0850 0 1.54366 0.0189670
786.166 61.5420 0 0.158437 0.0218590
6298.12 68.4320 0 0.252396 0.0175990
8120.14 77.5200 0 0.204966 0.0200270
4457.53 69.1540 0 0.237957 0.0217680
337.034 51.1140 0 0.348462 0.0224780
8664.49 29.3940 0 1.09472 0.0235640
5135.88 163.768 0 5.20727 0.0189580
5366.20 78.9690 0 12.5196 0.0188270
7310.93 29.7100 0 1.54707 0.0196260
3192.68 43.1770 0 4.41779 0.0207920
3291.57 75.9000 0 0.171674 0.0209140
7711.75 78.5600 0 0.0712970 0.0196570
491.371 66.0970 0 0.270647 0.0221610
71.5630 80.0290 0 0.107396 0.0215140
5279.82 57.3170 0 0.929264 0.0184700
8205.41 75.7350 0 0.258614 0.0200280
3800.14 53.3730 0 0.374433 0.0223890
4111.11 75.1300 0 0.492760 0.0218200
7819.99 80.6090 0 0.138181 0.0198360
1526.74 80.6090 0 0.0588620 0.0204480
1980.34 82.3170 0 0.153022 0.0191140
7391.80 57.8780 0 4.80927 0.0196040
3858.55 81.8810 0 0.0873410 0.0209910
2514.69 82.1010 0 0.0548510 0.0218840
2192.57 83.4230 0 0.132566 0.0205280
1499.68 82.9360 0 0.0541490 0.0209500
172.188 43.5010 0 5.83781 0.0221210
7120.58 82.8830 0 0.0963660 0.0175990
1326.67 54.4070 0 1.46554 0.0208700
153.542 75.2880 0 0.440516 0.0221980
4924.92 84.1570 0 0.105591 0.0184380
2105.61 84.2290 0 0.111809 0.0198780
1394.63 85.0430 0 0.102082 0.0207320
5968.47 85.0030 0 0.0272750 0.0175990
1190.99 73.7750 0 0.618206 0.0200170
6259.92 86.4410 0 0.0726000 0.0175990
3519.93 92.3260 0 1.89082 0.0215400
45.4040 81.9310 0 0.553928 0.0221410
8077.70 86.0620 0 0.0847340 0.0198070
1542.20 55.2970 0 0.414243 0.0211910
2460.84 79.6230 0 0.341843 0.0214090
786.627 87.3420 0 0.129959 0.0219060
3646.80 63.0090 0 1.10164 0.0223730
1105.19 81.8280 0 0.269243 0.0208390
4786.22 88.9000 0 0.103686 0.0203890
7556.77 89.1290 0 0.134571 0.0202540
7261.93 225.570 0 78.5339 0.0183710
369.003 89.2960 0 0.0864390 0.0218190
2813.99 90.4760 0 0.0805220 0.0208350
2992.85 89.5070 0 0.0959650 0.0218840
7584.42 89.9570 0 0.123842 0.0200910
9544.19 90.6640 0 0.229233 0.0433170
3494.10 68.2620 0 0.921142 0.0214560
2054.52 59.7880 0 17.3331 0.0195170
8590.83 85.3580 0 0.130360 0.0216810
2286.55 55.0190 0 2.49338 0.0217540
8993.76 90.5670 0 0.247683 0.0268190
6151.94 76.7460 0 0.303136 0.0175990
3691.74 61.4560 0 1.67362 0.0223730
1724.49 93.0040 0 0.0899480 0.0202630
7006.19 92.9440 0 0.156231 0.0177490
9301.24 94.4390 0 0.340439 0.0357980
3065.49 94.3860 0 0.0581600 0.0217940
7308.14 85.5720 0 0.254201 0.0195070
6397.50 77.8280 0 0.469094 0.0175990
4.12300 84.0010 0 0.715474 0.0211430
5275.00 71.5380 0 1.76357 0.0187350
6666.66 71.0930 0 0.341643 0.0176960
4677.67 65.3800 0 1.79415 0.0220830
1167.32 84.4420 0 0.397397 0.0212250
5715.12 98.1860 0 0.0748060 0.0180020
1608.58 46.3890 0 3.66551 0.0204030
1016.05 98.2770 0 0.200954 0.0207720
3555.48 99.0530 0 0.231338 0.0218850
8367.09 99.7670 0 0.124443 0.0208940
1572.15 99.5310 0 0.177289 0.0206610
1160.10 98.4180 0 0.183206 0.0206350
8179.05 99.3290 0 4.27540 0.0198440
2242.76 100.363 0 1.70039 0.0203680
5540.19 97.9100 0 0.562552 0.0188810
5971.76 99.0420 0 0.248085 0.0175990
1581.12 101.216 0 0.133368 0.0204130
2236.88 67.1800 0 1.17163 0.0201440
1228.17 101.875 0 0.0519430 0.0197360
3967.90 101.995 0 0.178693 0.0196230
1172.46 97.6450 0 0.334122 0.0207830
3603.39 101.761 0 0.185913 0.0217080
65.0810 93.4650 0 0.161746 0.0218620
29.7380 101.719 0 0.0986720 0.0210720
6843.94 103.378 0 0.155429 0.0175990
4174.09 100.876 0 0.429084 0.0222920
4870.16 89.3180 0 0.259817 0.0199780
352.083 80.5240 0 1.83917 0.0216580
6572.02 103.821 0 0.139284 0.0180790
1883.55 105.315 0 0.107998 0.0191030
2492.94 78.8540 0 0.569872 0.0215020
5928.31 105.411 0 0.121134 0.0175990
4811.96 105.279 0 0.110405 0.0200620
8083.12 105.379 0 0.182002 0.0200440
4399.85 88.5310 0 0.215394 0.0219160
