#	mag	magerr
20.646279	0.000838
25.689181	0.145968
25.824870	0.428803
22.257952	0.006889
24.894802	0.079132
25.357597	0.077623
24.421261	0.046174
23.019265	0.012420
26.103835	0.161380
26.205002	0.171430
25.153330	0.065124
25.114292	0.060184
24.961014	0.054338
24.192176	0.037827
26.281631	0.256443
23.403426	0.015949
26.941507	0.321406
24.224736	0.036790
23.992551	0.021723
23.590643	0.016348
25.564545	0.127278
25.167847	0.061432
24.498984	0.039131
26.176636	0.216895
26.499981	0.173321
25.858914	0.097388
24.942993	0.053676
25.655212	0.146165
24.562360	0.030575
25.921949	0.157099
22.438529	0.004022
24.810965	0.041645
26.049256	0.116583
23.870954	0.020361
25.119385	0.050191
24.916965	0.051597
24.211331	0.034601
26.097831	0.216999
25.446169	0.066103
22.389813	0.003849
26.841466	0.255411
25.689798	0.081125
23.721778	0.021492
22.050507	0.003039
24.917974	0.066505
26.108056	0.128532
23.024494	0.012396
25.619187	0.123590
26.040989	0.185931
26.102329	0.120668
24.737491	0.034553
25.022486	0.057862
25.072063	0.073625
25.642742	0.135718
25.709710	0.137772
23.219085	0.008426
26.377941	0.154681
26.923437	0.254385
25.127925	0.083967
26.394334	0.154303
24.023908	0.018664
26.172782	0.131623
26.954607	0.251622
22.691419	0.012221
26.304558	0.155698
26.603593	0.187260
20.733181	0.000882
22.161191	0.003252
25.808700	0.091519
26.053846	0.121725
26.376007	0.156170
24.671970	0.032284
24.410391	0.043113
26.292677	0.144212
26.313283	0.233529
24.387483	0.042135
26.637002	0.190641
26.358364	0.179846
26.146177	0.130791
26.392762	0.265991
26.790447	0.383104
25.074860	0.046598
25.533675	0.072118
25.330248	0.060168
27.040964	0.276895
25.797069	0.094884
23.253077	0.009021
27.153612	0.318237
26.544665	0.177044
22.931473	0.010730
23.779968	0.023865
22.612347	0.004795
25.055552	0.046325
27.048839	0.282626
26.729331	0.213866
27.189008	0.325171
27.212139	0.327432
25.740923	0.205976
23.903297	0.016136
25.580782	0.073718
25.295681	0.055172
99.000000	99.000000
26.856410	0.238033
20.701628	0.000830
24.421900	0.041257
24.596429	0.029274
26.486626	0.163935
27.381735	0.386851
26.890644	0.243667
25.127559	0.049635
25.481550	0.066521
27.188185	0.324894
26.042695	0.110436
25.694536	0.081880
26.037305	0.257284
24.630750	0.030516
26.232767	0.133793
26.895001	0.239630
24.755680	0.033898
24.656229	0.048696
26.752049	0.355908
25.603701	0.074323
99.000000	99.000000
27.013492	0.482860
26.815073	0.231131
25.263566	0.056630
25.402871	0.062491
25.675912	0.130083
26.511745	0.173925
25.711805	0.084212
26.361030	0.149372
26.781420	0.223427
25.724250	0.084617
25.183719	0.050310
26.150566	0.229068
25.299117	0.056833
23.769016	0.023298
25.030854	0.044748
26.525858	0.176376
27.057494	0.292406
24.769856	0.034152
24.068037	0.018141
25.119385	0.074747
26.155603	0.217271
26.440117	0.163906
26.475974	0.169858
25.288414	0.056452
27.333980	0.368128
26.095738	0.118157
25.388607	0.095163
26.893758	0.249065
23.093854	0.007281
99.000000	99.000000
24.758466	0.035123
24.337496	0.023023
25.457226	0.105506
26.127562	0.123019
25.791862	0.156199
26.362556	0.155223
20.663963	0.001439
25.598965	0.075463
27.345257	0.662637
26.865474	0.236751
28.204909	0.815653
25.062218	0.088565
25.642349	0.130574
27.019069	0.282560
23.688512	0.025501
25.542252	0.112041
25.524284	0.070389
25.936037	0.100364
25.648663	0.139301
25.664007	0.128615
26.057299	0.110197
27.166352	0.305336
27.441961	0.406186
25.381466	0.118489
22.434453	0.004043
23.455785	0.010649
23.851652	0.029491
24.693593	0.031944
24.853311	0.037635
99.000000	99.000000
26.109567	0.251100
25.191095	0.051855
26.179216	0.225336
27.535682	0.434311
26.147116	0.129932
24.730248	0.032582
26.950659	0.266987
26.031657	0.110488
26.659862	0.190159
26.849213	0.236560
22.277440	0.003394
24.606915	0.058498
26.516137	0.176897
23.456836	0.018140
26.529863	0.170787
