2658.55	1687.21
2641.54	1783.68
2681.19	1751.54
2739.99	1753.30
2662.02	1794.49
2698.65	1745.72
2753.14	1799.38
2597.85	1802.39
2547.70	1812.87
2750.75	1816.66
2818.73	1831.20
2693.22	1817.54
2617.59	1829.88
2558.67	1839.70
2715.45	1840.53
2847.49	1835.83
2846.64	1852.63
2683.28	1855.52
2620.81	1863.48
2811.76	1874.76
2792.02	1878.65
2871.68	1884.37
2537.53	1881.63
2556.54	1864.42
2548.47	1879.05
2726.84	1894.35
2619.79	1894.74
2816.48	1899.66
2921.72	1905.39
2527.66	1886.73
2825.82	1909.50
2633.59	1915.38
2861.70	1908.67
2665.38	1919.65
2609.71	1907.57
2837.49	1933.80
2813.87	1938.66
2699.93	1920.74
2795.14	1925.63
2473.36	1905.79
2784.68	1935.89
2577.63	1954.54
2502.96	1959.80
2688.08	1938.26
2753.20	1963.12
2853.56	1968.43
2704.17	1936.34
2617.86	1972.74
2507.89	1969.28
3011.34	1981.61
2522.80	1984.41
2683.35	1983.86
2795.92	1990.91
2847.61	1990.51
2536.93	1946.43
2577.72	2005.18
2929.18	1993.35
3020.62	2008.55
2658.98	2012.41
2564.77	2015.74
2481.60	2007.55
2514.56	2027.60
2673.06	1943.35
2419.78	2000.99
2905.40	2029.82
2380.33	2032.66
2682.11	2032.64
2472.89	2034.25
2577.68	2137.84
2896.64	2040.86
2432.39	2042.75
2798.55	2038.31
2949.23	2044.59
2512.16	2051.24
2367.48	2043.69
2978.42	2058.16
2947.90	2057.55
2451.61	2043.00
3079.74	2060.23
2713.42	2043.09
2641.72	2037.66
2464.33	2069.70
2959.84	2070.46
2497.88	2075.48
2703.11	2075.00
3104.84	2079.26
3092.96	2048.59
2967.85	2083.06
3122.77	2083.64
2353.25	2074.41
2949.54	2085.03
2934.52	2079.99
2411.36	2085.89
2729.44	2086.35
2397.88	2073.82
2430.47	2086.91
2914.30	2070.45
3091.19	2099.47
2688.03	2102.18
2940.30	2106.27
3025.69	2110.74
2818.28	2114.16
3165.70	2115.45
2476.42	2110.21
3141.18	2117.25
3077.29	2090.11
2357.26	2119.35
2756.34	2108.08
2803.95	2113.25
3035.88	2121.00
2814.45	2121.96
2771.99	2122.00
2502.43	2119.46
2378.60	2126.37
2694.23	2130.44
2903.28	2203.34
2975.43	2135.98
3149.67	2138.67
3108.54	2140.82
3187.25	2121.16
2544.67	2131.95
2611.01	2144.51
3045.61	2045.28
3099.30	2151.55
3088.69	2142.13
3080.35	2151.79
3043.73	2154.66
2705.16	2147.48
2646.57	2129.95
2760.05	2132.32
3118.67	2159.42
2499.71	2138.42
3209.32	2164.72
2814.76	2160.36
2445.05	2127.90
2940.49	2171.79
3062.84	2141.58
3109.00	2181.98
2629.37	2148.54
2451.93	2183.88
3007.52	2185.73
2754.51	2186.62
3125.61	2188.70
3160.11	2189.13
2887.04	2171.48
2325.69	2120.24
3072.75	2183.29
2258.10	2186.51
2602.75	2080.97
2471.42	2145.19
2859.33	2186.71
2873.83	2165.11
3243.92	2180.51
2829.61	2197.08
2352.41	2201.25
2699.58	2182.64
2847.14	2154.13
2778.03	2171.57
3206.51	2135.86
2681.53	2204.84
2697.93	2204.72
2703.77	2174.48
3269.98	2206.01
2788.64	2183.93
2609.25	2163.71
2849.04	2182.57
2650.16	2215.15
2801.95	2218.25
2612.47	2219.57
3118.50	2218.10
2479.78	2214.19
2459.25	2198.28
2953.23	2172.58
2432.81	2204.15
2659.50	2206.39
3152.73	2217.93
2840.53	2227.93
2437.64	2227.01
2402.13	2220.28
2248.63	2228.69
2294.28	2229.90
3078.81	2168.29
2789.79	2221.61
2406.05	2229.94
3156.49	2234.61
3300.12	2235.96
2768.46	2208.88
2624.57	2236.32
